sep=,
Measurement Mode:,Complete (Euler)
StartTime:,Fri, 03 Jun 2022 10:51:44 GMT
© Xsens Technologies B. V. 2005-2022

Timestamp,Address,Euler_x,Euler_y,Euler_z,FreeAcc_x,FreeAcc_y,FreeAcc_z
179957758,d4:22:cd:00:30:92,-161.7274932861328,-86.85639190673828,-121.29536437988281,0.28162139654159546,-0.018211165443062782,0.12490463256835938
179974425,d4:22:cd:00:30:92,-161.6182098388672,-86.85327911376953,-121.40036010742188,0.2821556031703949,-0.014989226125180721,0.1381692886352539
179991092,d4:22:cd:00:30:92,-161.47601318359375,-86.8512954711914,-121.53233337402344,0.2822720408439636,-0.021083083003759384,0.12856292724609375
180007759,d4:22:cd:00:30:92,-161.35000610351562,-86.84762573242188,-121.65203857421875,0.28385987877845764,-0.01281131524592638,0.12760066986083984
180024426,d4:22:cd:00:30:92,-161.22947692871094,-86.84334564208984,-121.7708969116211,0.2841719090938568,-0.025083517655730247,0.1485452651977539
180041093,d4:22:cd:00:30:92,-161.08956909179688,-86.83930969238281,-121.90927124023438,0.28314128518104553,-0.013240236788988113,0.12298965454101562
180057760,d4:22:cd:00:30:92,-160.9632568359375,-86.83528900146484,-122.03040313720703,0.2663579285144806,-0.004603696521371603,0.1402606964111328
180074427,d4:22:cd:00:30:92,-160.86410522460938,-86.83078002929688,-122.12509155273438,0.27451884746551514,-0.033918313682079315,0.1514263153076172
180091094,d4:22:cd:00:30:92,-160.780029296875,-86.82547760009766,-122.21161651611328,0.2685246765613556,-0.024359559640288353,0.11857318878173828
180107761,d4:22:cd:00:30:92,-160.67701721191406,-86.82164764404297,-122.30812072753906,0.25077304244041443,-0.025303231552243233,0.12832069396972656
180124428,d4:22:cd:00:30:92,-160.56829833984375,-86.81642150878906,-122.41941833496094,0.26228150725364685,-0.016887744888663292,0.1391754150390625
180141095,d4:22:cd:00:30:92,-160.4638671875,-86.81371307373047,-122.5135726928711,0.27909615635871887,-0.024286694824695587,0.14101028442382812
180157762,d4:22:cd:00:30:92,-160.362060546875,-86.80996704101562,-122.614501953125,0.26560670137405396,-0.03063446283340454,0.12839508056640625
180174429,d4:22:cd:00:30:92,-160.24594116210938,-86.80721282958984,-122.7291030883789,0.2659030854701996,-0.024288706481456757,0.12485122680664062
180191096,d4:22:cd:00:30:92,-160.12017822265625,-86.80390167236328,-122.8568115234375,0.2613731324672699,-0.02307748980820179,0.13406753540039062
180207763,d4:22:cd:00:30:92,-160.02590942382812,-86.80156707763672,-122.9484634399414,0.24966822564601898,-0.024601176381111145,0.15367889404296875
180224430,d4:22:cd:00:30:92,-159.8874969482422,-86.79862976074219,-123.07888793945312,0.26895180344581604,-0.014705364592373371,0.1377849578857422
180241097,d4:22:cd:00:30:92,-159.7436981201172,-86.79618835449219,-123.21251678466797,0.26424774527549744,-0.019584428519010544,0.1430187225341797
180257764,d4:22:cd:00:30:92,-159.6302032470703,-86.79252624511719,-123.32584381103516,0.2603543698787689,-0.0022217186633497477,0.13821887969970703
180274431,d4:22:cd:00:30:92,-159.52786254882812,-86.78996276855469,-123.427734375,0.2594563066959381,-0.007269982248544693,0.13376140594482422
180291098,d4:22:cd:00:30:92,-159.407470703125,-86.78630065917969,-123.54167938232422,0.25849005579948425,-0.005947456229478121,0.13683032989501953
180307765,d4:22:cd:00:30:92,-159.2775421142578,-86.78179931640625,-123.6649169921875,0.23462602496147156,-0.006755008362233639,0.12466907501220703
180324432,d4:22:cd:00:30:92,-159.18063354492188,-86.77790832519531,-123.75919342041016,0.2554844617843628,-0.013241130858659744,0.1303262710571289
180341099,d4:22:cd:00:30:92,-159.08836364746094,-86.77462768554688,-123.84475708007812,0.26336488127708435,-0.02765771746635437,0.15767765045166016
180357766,d4:22:cd:00:30:92,-158.98915100097656,-86.770263671875,-123.94346618652344,0.24949276447296143,-0.029682520776987076,0.1301746368408203
180374433,d4:22:cd:00:30:92,-158.9021453857422,-86.76651000976562,-124.02144622802734,0.22997896373271942,-0.02376680262386799,0.1338968276977539
180391100,d4:22:cd:00:30:92,-158.80972290039062,-86.76130676269531,-124.11310577392578,0.2495993822813034,-0.01678403466939926,0.1497650146484375
180407767,d4:22:cd:00:30:92,-158.7115936279297,-86.7569580078125,-124.210205078125,0.2401767373085022,-0.0325130894780159,0.12591266632080078
180424434,d4:22:cd:00:30:92,-158.6134033203125,-86.75405883789062,-124.30152130126953,0.2431805282831192,-0.015925968065857887,0.13509845733642578
180441101,d4:22:cd:00:30:92,-158.5153350830078,-86.75044250488281,-124.3912582397461,0.25449857115745544,-0.018059398978948593,0.15000343322753906
180457768,d4:22:cd:00:30:92,-158.37350463867188,-86.74574279785156,-124.52774810791016,0.24299433827400208,-0.01898362673819065,0.11846637725830078
180474435,d4:22:cd:00:30:92,-158.27328491210938,-86.74189758300781,-124.61993408203125,0.23489467799663544,-0.009036628529429436,0.1327352523803711
180491102,d4:22:cd:00:30:92,-158.16827392578125,-86.73961639404297,-124.71871948242188,0.24969346821308136,-0.031589310616254807,0.14165878295898438
180507769,d4:22:cd:00:30:92,-158.0524139404297,-86.73649597167969,-124.8303451538086,0.22867655754089355,-0.015061196871101856,0.11667728424072266
180524436,d4:22:cd:00:30:92,-157.9607696533203,-86.73385620117188,-124.91580200195312,0.2395278811454773,-0.018410762771964073,0.12354564666748047
180541103,d4:22:cd:00:30:92,-157.8767547607422,-86.73080444335938,-124.993408203125,0.24182559549808502,-0.037393718957901,0.13965320587158203
180557770,d4:22:cd:00:30:92,-157.7667694091797,-86.7271499633789,-125.09898376464844,0.23867830634117126,-0.02633608505129814,0.1349935531616211
180574437,d4:22:cd:00:30:92,-157.66099548339844,-86.72535705566406,-125.20346069335938,0.22960323095321655,-0.007357376161962748,0.13294506072998047
180591104,d4:22:cd:00:30:92,-157.58197021484375,-86.72225189208984,-125.28295135498047,0.2202199399471283,-0.023175165057182312,0.1429433822631836
180607771,d4:22:cd:00:30:92,-157.4529571533203,-86.71855163574219,-125.41045379638672,0.23420782387256622,-0.014080198481678963,0.13539505004882812
180624438,d4:22:cd:00:30:92,-157.35972595214844,-86.71312713623047,-125.49967193603516,0.23251068592071533,-0.01627509668469429,0.15543460845947266
180641105,d4:22:cd:00:30:92,-157.25521850585938,-86.7103271484375,-125.60698699951172,0.2349458634853363,-0.030461687594652176,0.13770198822021484
180657772,d4:22:cd:00:30:92,-157.14923095703125,-86.7056884765625,-125.70963287353516,0.23778559267520905,-0.009806854650378227,0.1274271011352539
180674439,d4:22:cd:00:30:92,-157.0629425048828,-86.7020034790039,-125.79225158691406,0.2320900410413742,-0.014835895970463753,0.1520242691040039
180691106,d4:22:cd:00:30:92,-157.005859375,-86.6977310180664,-125.84962463378906,0.2230037897825241,-0.01607527583837509,0.1294536590576172
180707773,d4:22:cd:00:30:92,-156.90411376953125,-86.69429779052734,-125.94683074951172,0.2264937311410904,-0.013193522579967976,0.12327766418457031
180724440,d4:22:cd:00:30:92,-156.8113555908203,-86.68985748291016,-126.03853607177734,0.22616717219352722,-0.02638145722448826,0.1296091079711914
180741107,d4:22:cd:00:30:92,-156.7522735595703,-86.68648529052734,-126.09077453613281,0.22237370908260345,-0.027699066326022148,0.15500831604003906
180757774,d4:22:cd:00:30:92,-156.67640686035156,-86.68318176269531,-126.1637191772461,0.23718836903572083,-0.027727676555514336,0.14110183715820312
180774441,d4:22:cd:00:30:92,-156.57144165039062,-86.67910766601562,-126.2609634399414,0.21613813936710358,-0.018033696338534355,0.12232494354248047
180791108,d4:22:cd:00:30:92,-156.48516845703125,-86.67552185058594,-126.34388732910156,0.20402084290981293,-0.029084399342536926,0.13049983978271484
180807775,d4:22:cd:00:30:92,-156.39329528808594,-86.67151641845703,-126.43009185791016,0.21014441549777985,-0.014917701482772827,0.14054298400878906
