sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:41:09.209 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
159, 2336773274, 0.59919566, 0.36810353, -0.6287765, 0.33182022
160, 2336789941, 0.59920126, 0.36810562, -0.6287676, 0.33182463
161, 2336806608, 0.5992015, 0.368117, -0.62875646, 0.33183244
162, 2336823275, 0.5992062, 0.3681012, -0.6287708, 0.3318143
163, 2336839942, 0.5992015, 0.3681009, -0.628774, 0.33181703
164, 2336856609, 0.59919375, 0.36811075, -0.6287693, 0.33182904
165, 2336873276, 0.5991896, 0.36811024, -0.62877214, 0.33183202
166, 2336889943, 0.5991953, 0.36810362, -0.62876946, 0.33183396
167, 2336906610, 0.59920186, 0.3681018, -0.628766, 0.33183053
168, 2336923277, 0.5992004, 0.3680938, -0.628773, 0.33182892
169, 2336939944, 0.5991939, 0.36809015, -0.62877846, 0.33183447
170, 2336956611, 0.5991994, 0.3680828, -0.6287765, 0.33183643
171, 2336973278, 0.599202, 0.36808494, -0.6287734, 0.33183527
172, 2336989945, 0.59921104, 0.36808684, -0.6287682, 0.33182663
173, 2337006612, 0.599218, 0.36808172, -0.6287645, 0.33182672
174, 2337023279, 0.5992154, 0.36808163, -0.6287661, 0.3318285
175, 2337039946, 0.5992134, 0.36807844, -0.62877065, 0.3318268
176, 2337056613, 0.59921503, 0.3680823, -0.6287663, 0.331828
177, 2337073280, 0.5992188, 0.36806974, -0.62877417, 0.33182028
178, 2337089947, 0.59921676, 0.36806956, -0.6287703, 0.33183146
179, 2337106614, 0.5992126, 0.3680723, -0.6287741, 0.33182883
180, 2337123281, 0.599215, 0.3680696, -0.6287708, 0.33183372
181, 2337139948, 0.59921503, 0.36807418, -0.62877125, 0.33182782
182, 2337156615, 0.5992179, 0.36806777, -0.6287701, 0.33183187
