,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_x,Euler_y,Euler_z
19,0.5639092,-0.45913208,0.5234603,0.44406468,-88.2296526368617,10.52120901057494,86.64188843929195
20,0.5639249,-0.45911086,0.5234752,0.44404920000000003,-88.22917320495186,10.525072028496535,86.64205845435156
21,0.5639556,-0.45907650000000005,0.52349204,0.44402602,-88.22750884405201,10.531069349492741,86.64164135339296
22,0.56399506,-0.45904836,0.52350914,0.44398472,-88.22654795414836,10.538268310295502,86.63937651388393
23,0.56402576,-0.4590224,0.5235128,0.44396842,-88.22418180489862,10.542596091445976,86.63807816171541
24,0.5640168999999999,-0.45903334,0.5234915,0.44399340000000004,-88.2227785662546,10.538753268318805,86.63811006303968
25,0.5641060999999999,-0.45892912,0.5235718,0.44389305,-88.22130614761156,10.560238557061714,86.6372922055086
26,0.5641225999999999,-0.45890844,0.52358675,0.44387576,-88.22089856486208,10.564224233603715,86.63728748964293
27,0.5641291,-0.45889944,0.5236055000000001,0.4438548,-88.22220076120378,10.567439744037213,86.6373667111576
28,0.564116,-0.45890233,0.52362907,0.44384068,-88.22537973125112,10.568795669386763,86.63876931085143
29,0.56406873,-0.45893916,0.5236097,0.44388554,-88.2270045156347,10.560331258003252,86.64114273166416
30,0.5640665,-0.45894098,0.5236124,0.44388336,-88.22752606402996,10.560394628582955,86.64124362910258
31,0.56406754,-0.45894733,0.52360386,0.44388524,-88.22718356205219,10.559470366943744,86.64041934403552
32,0.56408334,-0.45893729999999994,0.52358997,0.4438919,-88.22441316486528,10.559684241643,86.63940976707904
33,0.5640927,-0.45893118,0.52358663,0.44389057,-88.2233309794059,10.560420883018832,86.63884090304084
34,0.56412196,-0.45889938,0.5236025,0.4438675,-88.2218343068941,10.566130182007186,86.63832949117631
35,0.56397736,-0.459067,0.5234434,0.44406542,-88.22057993635985,10.527584432865345,86.63982531004969
36,0.56400067,-0.45903584,0.5234658,0.44404160000000004,-88.21994620605318,10.533366486222318,86.64003131985679
37,0.56401753,-0.45902506,0.5234644,0.44403306,-88.21860587190267,10.535317201394339,86.63894943478167
38,0.5640243,-0.45901838,0.5234702999999999,0.44402444,-88.21860026932598,10.536924761313452,86.63875785089888
39,0.5639811,-0.45906934,0.52343893,0.44406354,-88.22028427754194,10.527498066495284,86.63908397419003
40,0.56401664,-0.45902532,0.52348983,0.44400394,-88.22172019539312,10.538479218859587,86.63900419101255
41,0.5639525,-0.45910236,0.5234414000000001,0.44406283,-88.22413911128619,10.524244410396633,86.63934696579692
42,0.5639744999999999,-0.45908055,0.5234787999999999,0.44401336,-88.22632554233124,10.531820761848417,86.63870580818006
43,0.5639346,-0.45912647,0.5234483,0.44405246,-88.22757270056529,10.522913352341948,86.63913161961058
44,0.56396335,-0.45908448,0.523482,0.44401973,-88.2271406361174,10.53080615105,86.63976636697622
45,0.56401473,-0.45903406,0.5235125,0.4439705,-88.22541317442096,10.541190826441923,86.63828376846028
46,0.5640071999999999,-0.45905295,0.5234759,0.4440037,-88.22299882558279,10.535571264677642,86.63731262354297
47,0.56400084,-0.45907238,0.52343804,0.44403636,-88.22048772045979,10.52994098110672,86.6361309229626
48,0.56398374,-0.4590951,0.5234082999999999,0.44406965,-88.21932401903511,10.523985596949492,86.63601265826985
49,0.564,-0.45906737,0.5234308,0.44405094,-88.21908362527667,10.528894869237945,86.63677902284383
50,0.56399614,-0.45907852,0.5234213,0.44405556,-88.21912510747158,10.527210169338067,86.63611307013335
51,0.5639968000000001,-0.45907444,0.5234346,0.44404343,-88.22029319898905,10.52898333872712,86.63645334860925
52,0.5639168999999999,-0.45915842,0.5233745,0.44412879999999993,-88.22205680072413,10.51124501540622,86.63815950714232
53,0.5639155,-0.45915616,0.523392,0.44411239999999996,-88.2239334717065,10.513303346962044,86.63856969571812
54,0.56391007,-0.45916665,0.5233948,0.44410515,-88.22540021661754,10.513001149510412,86.63816333791968
55,0.5638945,-0.45917952,0.5234037,0.44410113,-88.22786910631582,10.512185222169247,86.63884277811813
56,0.5639194000000001,-0.4591438,0.5234473,0.44405502,-88.22931808537302,10.52088642100216,86.6392971130589
57,0.56391644,-0.45914220000000006,0.5234544,0.44405198,-88.23001465364665,10.521418766166658,86.63984801048444
58,0.56390965,-0.45915407,0.5234332,0.44407344,-88.2287121529256,10.517847276131704,86.63951504620765
59,0.5639028,-0.45916152,0.5234036,0.4441093,-88.22592469765591,10.513179599243609,86.6396678867163
60,0.56390154,-0.45917392,0.5233721,0.44413504,-88.22343976536669,10.509014739212155,86.63854084589822
61,0.5639375,-0.45913187,0.523385,0.4441178,-88.22046883403623,10.515153830753608,86.6382553202302
62,0.5639314000000001,-0.45914269999999996,0.52335864,0.44414549999999997,-88.21843063128154,10.511005536117592,86.6379475107257
63,0.5639261,-0.45914620000000006,0.523351,0.44415770000000004,-88.21787817633128,10.509345291241141,86.6382929944663
64,0.5640043,-0.45905298,0.52344245,0.44404670000000007,-88.21894972045736,10.53089393495644,86.63773769315965
